currency,currency_name,units_per_eur,eur_per_units
USD,US Dollar,1.091159774,0.9164560718
EUR,Euro,1,1
GBP,British Pound,0.8447868119,1.1837306
INR,Indian Rupee,70.12437198,0.01426037727
AUD,Australian Dollar,1.448283539,0.6904725305
CAD,Canadian Dollar,1.489654218,0.6712967266
SGD,Singapore Dollar,1.52335312,0.6564466156
CHF,Swiss Franc,1.086160547,0.9206742067
MYR,Malaysian Ringgit,4.736322315,0.2111342796
JPY,Japanese Yen,121.9897731,0.008197408474
CNY,Chinese Yuan Renminbi,7.524276515,0.1329031433
NZD,New Zealand Dollar,1.578384356,0.6335592446
THB,Thai Baht,37.7429227,0.02649503346
HUF,Hungarian Forint,312.0311726,0.003204808006
AED,Emirati Dirham,4.008056607,0.2494974742
HKD,Hong Kong Dollar,8.486330725,0.1178365577
MXN,Mexican Peso,20.47411122,0.04884216898
ZAR,South African Rand,14.59771958,0.0685038505
PHP,Philippine Peso,54.79017556,0.01825144727
SEK,Swedish Krona,9.634242116,0.1037964365
IDR,Indonesian Rupiah,14551.71568,0.0000687204191
BRL,Brazilian Real,3.466402668,0.2884835075
SAR,Saudi Arabian Riyal,4.09227716,0.2443627254
TRY,Turkish Lira,3.878522866,0.2578301159
KES,Kenyan Shilling,112.5783096,0.00888270577
KRW,South Korean Won,1239.260404,0.0008069329066
EGP,Egyptian Pound,19.77246281,0.0505753891
IQD,Iraqi Dinar,1284.220993,0.0007786821782
NOK,Norwegian Krone,9.367520013,0.1067518403
KWD,Kuwaiti Dinar,0.3324196628,3.008245636
RUB,Russian Ruble,62.05486484,0.01611477203
DKK,Danish Krone,7.437120481,0.1344606427
PKR,Pakistani Rupee,114.2951872,0.008749274793
ILS,Israeli Shekel,3.945722836,0.2534389874
PLN,Polish Zloty,4.219673725,0.2369851475
QAR,Qatari Riyal,3.972743116,0.2517152433
XAU,Gold Ounce,0.0008660388357,1154.682629
OMR,Omani Rial,0.4199562336,2.381200516
COP,Colombian Peso,3209.850605,0.000311540979
CLP,Chilean Peso,727.0444794,0.001375431667
TWD,Taiwan New Dollar,32.94807549,0.03035078636
ARS,Argentine Peso,16.78734096,0.0595686954
CZK,Czech Koruna,26.8572214,0.03723393366
VND,Vietnamese Dong,24815.46502,0.00004029745158
MAD,Moroccan Dirham,10.8190664,0.09242941704
JOD,Jordanian Dinar,0.7736113908,1.292638671
BHD,Bahraini Dinar,0.4112668612,2.43151125
XOF,CFA Franc,655.957,0.001524490172
LKR,Sri Lankan Rupee,166.5782733,0.00600318385
UAH,Ukrainian Hryvnia,28.97084908,0.03451745571
NGN,Nigerian Naira,334.9218586,0.002985771082
TND,Tunisian Dinar,2.661458256,0.3757338661
UGX,Ugandan Shilling,3982.580256,0.0002510934961
RON,Romanian Leu,4.541884905,0.2201729064
BDT,Bangladeshi Taka,90.70585941,0.01102464611
PEN,Peruvian Sol,3.53905593,0.2825612309
GEL,Georgian Lari,2.661774964,0.3756891599
XAF,Central African CFA Franc BEAC,655.957,0.001524490172
FJD,Fijian Dollar,2.292935004,0.4361222617
VEF,Venezuelan Bolívar,11.06114096,0.09040658673
BYN,Belarusian Ruble,2.032454132,0.4920160236
UZS,Uzbekistani Som,4075.924516,0.0002453431108
BGN,Bulgarian Lev,1.95780273,0.510776691
DZD,Algerian Dinar,119.8888839,0.008341056884
IRR,Iranian Rial,35395.35769,0.00002825229254
DOP,Dominican Peso,51.65361983,0.01935972742
ISK,Icelandic Krona,115.7093413,0.008642344592
CRC,Costa Rican Colon,614.9285412,0.001626205214
XAG,Silver Ounce,0.06406919566,15.60812477
SYP,Syrian Pound,233.879426,0.004275707433
JMD,Jamaican Dollar,140.6078995,0.007111975952
LYD,Libyan Dinar,1.519627171,0.6580561465
GHS,Ghanaian Cedi,4.603126631,0.2172436433
MUR,Mauritian Rupee,38.05830849,0.0262754715
AOA,Angolan Kwanza,181.0408586,0.005523614989
UYU,Uruguayan Peso,30.66838064,0.03260687324
AFN,Afghan Afghani,73.75453784,0.01355848778
LBP,Lebanese Pound,1649.723553,0.0006061621648
XPF,CFP Franc,119.3317422,0.00838
TTD,Trinidadian Dollar,7.356092322,0.1359417414
TZS,Tanzanian Shilling,2439.11555,0.0004099846766
ALL,Albanian Lek,134.9602103,0.007409591302
XCD,East Caribbean Dollar,2.946131409,0.3394281725
GTQ,Guatemalan Quetzal,8.007961917,0.1248757187
NPR,Nepalese Rupee,112.2685019,0.008907217814
BOB,Bolivian Bolíviano,7.541979018,0.1325911936
ZWD,Zimbabwean Dollar,394.8907221,0.00253234615
BBD,Barbadian or Bajan Dollar,2.182319548,0.4582280359
CUC,Cuban Convertible Peso,1.091159774,0.9164560718
LAK,Lao Kip,8891.369843,0.0001124686092
BND,Bruneian Dollar,1.52335312,0.6564466156
BWP,Botswana Pula,11.40738334,0.08766252262
HNL,Honduran Lempira,25.61124366,0.03904535107
PYG,Paraguayan Guarani,6086.231092,0.0001643052958
ETB,Ethiopian Birr,25.05860178,0.03990645642
NAD,Namibian Dollar,14.59771958,0.0685038505
PGK,Papua New Guinean Kina,3.487772096,0.2867159816
SDG,Sudanese Pound,7.305869803,0.1368762416
MOP,Macau Pataca,8.740920647,0.1144044249
BMD,Bermudian Dollar,1.091159774,0.9164560718
NIO,Nicaraguan Cordoba,32.48814418,0.03078045931
BAM,Bosnian Convertible Mark,1.95583,0.5112918812
KZT,Kazakhstani Tenge,344.3666408,0.00290388174
PAB,Panamanian Balboa,1.091159774,0.9164560718
GYD,Guyanese Dollar,226.1751785,0.004421351656
YER,Yemeni Rial,273.0127554,0.003662832524
MGA,Malagasy Ariary,3451.203315,0.00028975401
KYD,Caymanian Dollar,0.8947510778,1.117629277
MZN,Mozambican Metical,70.19289397,0.01424645635
RSD,Serbian Dinar,123.181536,0.008118099777
SCR,Seychellois Rupee,14.87516119,0.06722616228
AMD,Armenian Dram,528.8260982,0.001890980803
AZN,Azerbaijan Manat,1.832956534,0.5455666739
SBD,Solomon Islander Dollar,8.567600426,0.1167187953
SLL,Sierra Leonean Leone,8202.257742,0.0001219176514
TOP,Tongan Pa'anga,2.487106104,0.4020737186
BZD,Belizean Dollar,2.18189523,0.4583171484
GMD,Gambian Dalasi,49.4847399,0.0202082501
MWK,Malawian Kwacha,793.4156519,0.001260373422
BIF,Burundian Franc,1875.055027,0.0005333176816
HTG,Haitian Gourde,74.33828253,0.01345201915
SOS,Somali Shilling,633.0171662,0.00157973599
GNF,Guinean Franc,9965.134615,0.0001003498737
MNT,Mongolian Tughrik,2635.13613,0.0003794870362
MVR,Maldivian Rufiyaa,16.79415041,0.05954454234
CDF,Congolese Franc,1519.918739,0.0006579299105
TJS,Tajikistani Somoni,9.274707893,0.1078201073
KPW,North Korean Won,141.5712569,0.007063580716
KGS,Kyrgyzstani Som,73.65130671,0.01357749162
LRD,Liberian Dollar,102.0037504,0.009803561105
LSL,Basotho Loti,14.59771958,0.0685038505
MMK,Burmese Kyat,1488.363164,0.0006718790305
GIP,Gibraltar Pound,0.8447868119,1.1837306
XPT,Platinum Ounce,0.001164923088,858.4257712
MDL,Moldovan Leu,20.92226241,0.04779597828
CUP,Cuban Peso,28.915734,0.03458324799
KHR,Cambodian Riel,4429.275826,0.0002257705411
MKD,Macedonian Denar,61.62581509,0.0162269659
VUV,Ni-Vanuatu Vatu,121.4859112,0.008231407164
ANG,Dutch Guilder,1.95147627,0.5124325698
SZL,Swazi Lilangeni,14.59771958,0.0685038505
CVE,Cape Verdean Escudo,110.4716613,0.009052095249
SRD,Surinamese Dollar,8.226219135,0.1215625287
SVC,Salvadoran Colon,9.54764802,0.1047378368
XPD,Palladium Ounce,0.001335135065,748.9878939
BSD,Bahamian Dollar,1.091159774,0.9164560718
XDR,IMF Special Drawing Rights,0.7963973736,1.255654568
RWF,Rwandan Franc,900.9127364,0.001109985418
AWG,Aruban or Dutch Guilder,1.953175995,0.5119866323
BTN,Bhutanese Ngultrum,70.12437198,0.01426037727
DJF,Djiboutian Franc,194.1989236,0.005149359129
KMF,Comorian Franc,491.96775,0.002032653563
ERN,Eritrean Nakfa,16.74583511,0.05971634102
FKP,Falkland Island Pound,0.8447868119,1.1837306
SHP,Saint Helenian Pound,0.8447868119,1.1837306
SPL,Seborgan Luigino,0.1818599616,5.498736453
WST,Samoan Tala,2.808456642,0.3560674518
JEP,Jersey Pound,0.8447868119,1.1837306
TMT,Turkmenistani Manat,3.819059208,0.2618445919
GGP,Guernsey Pound,0.8447868119,1.1837306
IMP,Isle of Man Pound,0.8447868119,1.1837306
TVD,Tuvaluan Dollar,1.448283539,0.6904725305
ZMW,Zambian Kwacha,10.20470222,0.09799404029
BTC,Bitcoin,0.0008041997199,1243.472206
CLF,CLF,0.02717528936,36.79813623
ETH,Ethereum,0.0134007736,74.62255762
LTC,Litecoin,0.06583637618,15.18917137
XBT,XBT,0.0008041997199,1243.472206